Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
0.97000003,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
0.99989969,0.035683577,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.0297994,0.094582975,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.059699,0.1327601,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.0895987,0.14703353,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.1194984,0.14350817,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.149398,0.1255374,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.1792977,0.096044712,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2091973,0.075150473,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.239097,0.052020636,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2689967,0.03877902,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.2988963,0.028460877,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.328796,0.015993121,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.3586957,0.010576096,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.3885953,0.0038693035,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.418495,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.4483947,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.4782943,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.508194,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.5380937,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.5679933,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.597893,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.6277927,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.6576923,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.687592,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.7174917,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.7473913,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.777291,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8071906,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8370903,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.86699,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.8968896,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.9267893,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.956689,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
1.9865886,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.0164883,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.046388,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.0762876,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1061873,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.136087,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1659866,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.1958863,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.225786,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.2556856,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.2855853,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.315485,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.3453846,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.3752843,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4051839,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4350836,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4649833,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.4948829,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5247826,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5546823,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.5845819,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6144816,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6443813,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.6742809,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7041806,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7340803,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7639799,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.7938796,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8237793,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8536789,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.8835786,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9134783,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9433779,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
2.9732776,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.0031772,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.0330769,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.0629766,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.0928762,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.1227759,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.1526756,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.1825752,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.2124749,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.2423746,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.2722742,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.3021739,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.3320736,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.3619732,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.3918729,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.4217726,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.4516722,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.4815719,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.5114715,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.5413712,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.5712709,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.6011705,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.6310702,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.6609699,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.6908695,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.7207692,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.7506689,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.7805685,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.8104682,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.8403679,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.8702675,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.9001672,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.9300669,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.9599665,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
3.9898662,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.0197659,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.0496655,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.0795652,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.1094648,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.1393645,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.1692642,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.1991638,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.2290635,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.2589632,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.2888628,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.3187625,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.3486622,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.3785618,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.4084615,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.4383612,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.4682608,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.4981605,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.5280602,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.5579598,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.5878595,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.6177592,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.6476588,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.6775585,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.7074581,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.7373578,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.7672575,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.7971571,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.8270568,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.8569565,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.8868561,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.9167558,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.9466555,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
4.9765551,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.0064548,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.0363545,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.0662541,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.0961538,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.1260535,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.1559531,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.1858528,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.2157525,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.2456521,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.2755518,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.3054514,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.3353511,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.3652508,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.3951504,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.4250501,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.4549498,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.4848494,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.5147491,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.5446488,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.5745484,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.6044481,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.6343478,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.6642474,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.6941471,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.7240468,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.7539464,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.7838461,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.8137457,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.8436454,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.8735451,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.9034447,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.9333444,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.9632441,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
5.9931437,0,Ag-Ag-6kV,2.98,eccentricity,2.1,3.2,CDL
